ticker,Cluster,roe,debt_to_equity,profit_margins,beta,market_cap,net_income,total_equity,total_debt,scaled_roe,scaled_debt_to_equity,mercado,k
VALE3.SA,0,0.12837,50.133,0.13814001,1.022,250107740160,6166000000.0,34528000000.0,45624000000.0,0.2825313764768407,0.10611550064341334,BR,4
PETR4.SA,0,0.18483,92.443,0.15185,0.289,414956126208,7528000000.0,59350000000.0,122295000000.0,0.3979395772862924,0.19581177139004838,BR,4
ITUB4.SA,0,0.20809,77.35,0.3179,0.283,387382444032,41085000000.0,221284000000.0,2633191000000.0,0.44548464903315477,0.16381494287719175,BR,4
BBDC4.SA,0,0.123459995,77.35,0.23561001,0.384,168208580608,17252900000.0,168942492000.0,1900541870000.0,0.27249498180777565,0.16381494287719175,BR,4
BBAS3.SA,0,0.15581,77.35,0.3,0.305,123187060736,26358860000.0,184236344000.0,2214482853000.0,0.3386206614611013,0.16381494287719175,BR,4
ABEV3.SA,0,0.16048999,3.388,0.16083999,0.342,185080430592,14437200000.0,99580500000.0,62927800000.0,0.3481868893340419,0.007017127302561144,BR,4
RENT3.SA,3,0.091409996,169.658,0.05876,0.329,41124671488,1813627000.0,26342714000.0,60900893000.0,0.20698253546461712,0.3595058755191296,BR,4
WEGE3.SA,2,0.3133,14.482,0.1565,0.035,152723341312,6042593000.0,23125217000.0,18364484000.0,0.6605412697763787,0.03053616364534463,BR,4
ELET3.SA,3,0.056900002,63.152,0.15168999,0.281,118642245632,10378122000.0,121999776000.0,167871554000.0,0.13644168676668983,0.13371549470747482,BR,4
SUZB3.SA,1,0.18742001,227.437,0.15256,0.292,62660575232,-7074198000.0,32415575000.0,133520530000.0,0.40323373942193697,0.48199608652054365,BR,4
B3SA3.SA,0,0.24775,75.917,0.49303,0.333,65899302912,4576581000.0,18383454000.0,26845396000.0,0.5265524712808143,0.1607770143501313,BR,4
GGBR4.SA,3,0.059770003,35.41,0.04731,0.853,33185959936,4566317000.0,58173786000.0,28640707000.0,0.1423081701483995,0.0749030640042569,BR,4
EGIE3.SA,1,0.24659,209.629,0.2527,0.368,32881887232,4279349000.0,12280398000.0,37831903000.0,0.5241813499039286,0.44424351763715725,BR,4
HAPV3.SA,3,-0.00985,34.667,-0.01623,0.315,17753890816,-649301000.0,48676923000.0,24822723000.0,0.0,0.07332792032274546,BR,4
RDOR3.SA,0,0.15899,155.841,0.07788,1.022,91800518656,3846945000.0,26701868000.0,75896014000.0,0.345120804546012,0.33021413898152013,BR,4
TOTS3.SA,0,0.17288,32.457,0.15139,0.597,26255110144,717513000.0,4987121000.0,3544600000.0,0.37351293896406523,0.0686427688609146,BR,4
RADL3.SA,0,0.19186,125.938,0.02982,0.162,32255860736,1197694000.0,6442195000.0,15699495000.0,0.4123093904582805,0.26682043574028574,BR,4
PRIO3.SA,2,0.47937,87.985,0.73486,0.901,31025956864,10301606000.0,25924192000.0,29821973000.0,0.9999999999999999,0.18636090930097962,BR,4
LREN3.SA,0,0.13270001,30.11,0.088640004,0.527,14575734784,1196668000.0,10772951000.0,9591639000.0,0.29138222067781366,0.06366718040801098,BR,4
MGLU3.SA,3,0.03496,87.74,0.01006,1.337,6749096960,448717000.0,11319262000.0,25992596000.0,0.09159478353297083,0.18584151468190785,BR,4
VIVT3.SA,3,0.08485,29.855,0.101169996,0.353,106785497088,5547948000.0,69799495000.0,55141178000.0,0.19357344344057886,0.06312658600856895,BR,4
SBSP3.SA,2,0.3091,77.35,0.27754998,0.157,87202193408,9579563000.0,36928054000.0,44037376000.0,0.6519561751359305,0.16381494287719175,BR,4
FLRY3.SA,3,0.10706,98.057,0.077309996,0.329,8720247808,616172000.0,5374831000.0,7687579000.0,0.2389722415273292,0.20771332808992096,BR,4
GOAU4.SA,3,0.059580002,35.379,0.01629,0.861,9957948416,1544820000.0,58253714000.0,28694815000.0,0.14191979477535668,0.07483734468510905,BR,4
CPLE6.SA,3,0.100839995,79.087,0.12751001,0.385,36571209728,2809631000.0,25636935000.0,31747221000.0,0.22625811495850537,0.1674973447275086,BR,4
